127.0.0.1 - - [04/Sep/2020:21:53:20 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Sep/2020:21:53:21 +0530] "GET /spring-crm-rest/ HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [04/Sep/2020:22:19:04 +0530] "GET /spring-crm-rest/ HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [04/Sep/2020:22:19:14 +0530] "GET /spring-crm-rest/api/customers HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [04/Sep/2020:22:19:25 +0530] "GET /spring-crm-rest/api/customers HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [04/Sep/2020:22:20:33 +0530] "GET /spring-crm-rest/ HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [04/Sep/2020:22:21:28 +0530] "GET /spring-crm-rest/ HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [04/Sep/2020:22:21:29 +0530] "GET /spring-crm-rest/api/customers HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [04/Sep/2020:22:23:52 +0530] "GET /spring-crm-rest/api/customers HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [04/Sep/2020:22:23:56 +0530] "GET /spring-crm-rest/api/customers/1 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Sep/2020:22:24:06 +0530] "GET /spring-crm-rest/api/customers HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [04/Sep/2020:22:24:27 +0530] "GET /spring-crm-rest/api/customers/1 HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [04/Sep/2020:22:24:31 +0530] "GET /spring-crm-rest/api/customers/5 HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [04/Sep/2020:22:24:42 +0530] "GET /spring-crm-rest/api/customers/2 HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [04/Sep/2020:22:25:13 +0530] "GET /spring-crm-rest/api/customers/4 HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [04/Sep/2020:22:25:33 +0530] "GET /spring-crm-rest/api/customers/4 HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [04/Sep/2020:22:25:39 +0530] "GET /spring-crm-rest/api/customers/1 HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [04/Sep/2020:22:42:33 +0530] "GET /spring-crm-rest/api/customers/4 HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [04/Sep/2020:22:42:38 +0530] "GET /spring-crm-rest/api/customers/sb HTTP/1.1" 400 216
0:0:0:0:0:0:0:1 - - [04/Sep/2020:22:42:49 +0530] "GET /spring-crm-rest/api/customers/scdvbfsd HTTP/1.1" 400 222
0:0:0:0:0:0:0:1 - - [04/Sep/2020:22:42:57 +0530] "GET /spring-crm-rest/api/customers/432 HTTP/1.1" 404 91
0:0:0:0:0:0:0:1 - - [04/Sep/2020:23:02:56 +0530] "GET /spring-crm-rest/api/customers/1 HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [04/Sep/2020:23:05:39 +0530] "POST /spring-crm-rest/api/customers HTTP/1.1" 200 93
0:0:0:0:0:0:0:1 - - [04/Sep/2020:23:07:14 +0530] "POST /spring-crm-rest/api/customers HTTP/1.1" 200 91
0:0:0:0:0:0:0:1 - - [04/Sep/2020:23:13:48 +0530] "PUT /spring-crm-rest/api/customers HTTP/1.1" 200 93
0:0:0:0:0:0:0:1 - - [04/Sep/2020:23:19:54 +0530] "DELETE /spring-crm-rest/api/customers/1 HTTP/1.1" 400 101
0:0:0:0:0:0:0:1 - - [04/Sep/2020:23:20:54 +0530] "DELETE /spring-crm-rest/api/customers/1 HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [04/Sep/2020:23:21:13 +0530] "DELETE /spring-crm-rest/api/customers/7 HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [04/Sep/2020:23:21:31 +0530] "DELETE /spring-crm-rest/api/customers/7 HTTP/1.1" 404 89
0:0:0:0:0:0:0:1 - - [04/Sep/2020:23:21:52 +0530] "DELETE /spring-crm-rest/api/customers/999 HTTP/1.1" 404 91
0:0:0:0:0:0:0:1 - - [04/Sep/2020:23:21:58 +0530] "DELETE /spring-crm-rest/api/customers/sfwfw HTTP/1.1" 400 219
